Ticker,Name,Sector,Industry,MarketCap,PreviousClose,Status
GAMA,"GAMA.JK,0P0000WGD9,0",N/A,N/A,180198490112,0,Success
GDST,Gunawan Dianjaya Steel Tbk.,Basic Materials,Steel,970462527488,115.0,Success
GDYR,Goodyear Indonesia Tbk,Consumer Cyclical,Auto Parts,455100006400,1120.0,Success
GEMS,Golden Energy Mines Tbk.,Energy,Thermal Coal,47058824200192,8125.0,Success
FASW,Fajar Surya Wisesa Tbk,Consumer Cyclical,Packaging & Containers,17555842400256,5450.0,Success
FMII,Fortune Mate Indonesia Tbk,Real Estate,Real Estate - Development,1536000000000,252.0,Success
GEMA,Gema Grahasarana Tbk,Consumer Cyclical,"Furnishings, Fixtures & Appliances",142133002240,90.0,Success
FORU,Fortune Indonesia Tbk,Communication Services,Advertising Agencies,600138973184,1295.0,Success
GJTL,Gajah Tunggal Tbk,Consumer Cyclical,Auto Parts,4216194859008,1220.0,Success
GLOB,Globe Kita Terang Tbk.,Consumer Cyclical,Specialty Retail,172222349312,155.0,Success
GMTD,Gowa Makassar Tourism Developme,Real Estate,Real Estate - Development,1583992799232,1620.0,Success
GGRM,Gudang Garam Tbk,Consumer Defensive,Tobacco,29342342053888,15825.0,Success
GOLL,"GOLL.JK,0P000154MR,0",N/A,N/A,0,0,Success
GIAA,Garuda Indonesia (Persero) Tbk.,Industrials,Airlines,27682236530688,69.0,Success
GOLD,Visi Telekomunikasi Infrastrukt,Communication Services,Telecom Services,357637292032,288.0,Success
GTBO,Garda Tujuh Buana Tbk,Energy,Thermal Coal,550000001024,224.0,Success
GSMF,Equity Development Investment T,Financial Services,Insurance - Diversified,1423040053248,104.0,Success
GWSA,Greenwood Sejahtera Tbk.,Real Estate,Real Estate - Development,1177914703872,156.0,Success
GPRA,Perdana Gapuraprima Tbk,Real Estate,Real Estate - Development,496092020736,120.0,Success
HADE,Himalaya Energi Perkasa Tbk.,Consumer Cyclical,Specialty Retail,40279998464,20.0,Success
GZCO,Gozco Plantations Tbk,Consumer Defensive,Farm Products,1236847427584,232.0,Success
HITS,Humpuss Intermoda Transportasi ,Industrials,Marine Shipping,823725850624,116.0,Success
HDFA,Radana Bhaskara Finance Tbk.,Financial Services,Credit Services,713126576128,112.0,Success
HERO,DFI Retail Nusantara Tbk.,Consumer Cyclical,Department Stores,1983042420736,380.0,Success
HMSP,H.M. Sampoerna Tbk.,Consumer Defensive,Tobacco,85493790277632,775.0,Success
HOME,"HOME.JK,0P0000JDAY,0",N/A,N/A,0,0,Success
HEXA,Hexindo Adiperkasa Tbk,Industrials,Industrial Distribution,3712799997952,4460.0,Success
HOTL,"HOTL.JK,0P0000XUPX,0",N/A,N/A,177500012544,0,Success
IATA,MNC Energy Investments Tbk.,Energy,Thermal Coal,2533342052352,83.0,Success
ICON,Island Concepts Indonesia Tbk.,Energy,Oil & Gas Equipment & Services,127500754944,125.0,Success
HRUM,Harum Energy Tbk.,Energy,Thermal Coal,12951328129024,1010.0,Success
IBFN,Intan Baru Prana Tbk.,Financial Services,Credit Services,121386590208,85.0,Success
ICBP,Indofood CBP Sukses Makmur Tbk.,Consumer Defensive,Packaged Foods,77551691104256,6725.0,Success
IIKP,"IIKP.JK,0P0000EKWR,0",N/A,N/A,0,0,Success
IKBI,Sumi Indo Kabel Tbk,Industrials,Electrical Equipment & Parts,679320027136,570.0,Success
IKAI,Intikeramik Alamasri Industri T,Industrials,Building Products & Equipment,345950781440,26.0,Success
IBST,Inti Bangun Sejahtera Tbk.,Communication Services,Telecom Services,11448920047616,8475.0,Success
IGAR,Champion Pacific Indonesia Tbk.,Consumer Cyclical,Packaging & Containers,445334683648,482.0,Success
IMAS,Indomobil Sukses Internasional ,Consumer Cyclical,Auto & Truck Dealerships,4253919739904,1085.0,Success
IMJS,Indomobil Multi Jasa Tbk.,Industrials,Conglomerates,2039661330432,202.0,Success
INAF,Indofarma Tbk.,Healthcare,Drug Manufacturers - Specialty & Generic,390507724800,126.0,Success
INAI,Indal Aluminium Industry Tbk,Basic Materials,Aluminum,116582400000,185.0,Success
INDR,Indo-Rama Synthetics Tbk.,Consumer Cyclical,Textile Manufacturing,1701314428928,2790.0,Success
INDF,Indofood Sukses Makmur Tbk,Consumer Defensive,Packaged Foods,59487385812992,6850.0,Success
IMPC,Impack Pratama Industri Tbk.,Industrials,Building Products & Equipment,118756961419264,2310.0,Success
INDX,Tanah Laut Tbk,Industrials,Marine Shipping,45543014400,111.0,Success
INCI,Intanwijaya Internasional Tbk,Basic Materials,Specialty Chemicals,144321347584,725.0,Success
